Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
8/31/2018 11:56,        data\61883_forwardedatbadirqlallocate_1.bpl,    198.87s,       4 clients,         RB,354.45,131.68,66.79,148.75,,
,                                                   ,           ,                ,           ,111.26,9.84,20.14,28, rse-server-13,
,                                                   ,           ,                ,           ,64.19,60.52,16.58,37.71, rse-server-14,
,                                                   ,           ,                ,           ,84.82,35.3,14.72,42.71, rse-server-12,
,                                                   ,           ,                ,           ,94.18,26.02,15.35,40.33, rse-server-15,
8/31/2018 12:25,        data\61883_forwardedatbadirqlallocate_1.bpl,    122.12s,       4 clients,         RB,208.76,90.4,15.24,115.43,,
,                                                   ,           ,                ,           ,52.39,31.1,2.95,21.13, rse-server-13,
,                                                   ,           ,                ,           ,41.47,34.35,2.92,30.27, rse-server-14,
,                                                   ,           ,                ,           ,55.91,18.13,5.48,27.56, rse-server-12,
,                                                   ,           ,                ,           ,58.99,6.83,3.89,36.47, rse-server-15,
8/31/2018 12:38,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.36s,       4 clients,         RB,150.04,166.7,11.78,71.86,,
,                                                   ,           ,                ,           ,41.66,35.78,1.97,21.28, rse-server-13,
,                                                   ,           ,                ,           ,34.85,32.58,3.03,30.46, rse-server-14,
,                                                   ,           ,                ,           ,37.64,47.88,3.86,9.03, rse-server-12,
,                                                   ,           ,                ,           ,35.89,50.46,2.92,11.09, rse-server-15,
8/31/2018 14:08,        data\61883_forwardedatbadirqlallocate_1.bpl,    107.02s,       4 clients,         RB,153.4,90.88,10.14,70.39,,
,                                                   ,           ,                ,           ,38.38,0,3.19,1.48, rse-server-13,
,                                                   ,           ,                ,           ,29.66,38.69,1.77,24.89, rse-server-14,
,                                                   ,           ,                ,           ,36.11,35.63,1.8,20.69, rse-server-12,
,                                                   ,           ,                ,           ,49.25,16.56,3.38,23.33, rse-server-15,
8/31/2018 14:18,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.31s,       4 clients,         RB,160.11,140.89,11.08,84.86,,
,                                                   ,           ,                ,           ,46.74,29.53,2.36,21.06, rse-server-13,
,                                                   ,           ,                ,           ,33,34.67,1.92,30.61, rse-server-14,
,                                                   ,           ,                ,           ,44.41,27.14,4.19,21.92, rse-server-12,
,                                                   ,           ,                ,           ,35.96,49.54,2.61,11.27, rse-server-15,
8/31/2018 14:21,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.68s,       4 clients,         RB,152.07,159.67,11.04,71.69,,
,                                                   ,           ,                ,           ,48.97,24.92,2.17,22.6, rse-server-13,
,                                                   ,           ,                ,           ,23.53,51.8,1.39,23.06, rse-server-14,
,                                                   ,           ,                ,           ,42.88,35.94,4.25,14.75, rse-server-12,
,                                                   ,           ,                ,           ,36.69,47,3.23,11.28, rse-server-15,
8/31/2018 14:30,        data\61883_forwardedatbadirqlallocate_1.bpl,    112.11s,       4 clients,         RB,149.87,163.11,10.44,71.75,,
,                                                   ,           ,                ,           ,47.61,26.77,1.77,22.72, rse-server-13,
,                                                   ,           ,                ,           ,23.25,52.85,1.11,23.56, rse-server-14,
